inscription_id,cisi,site,artefact_type,direction_raw,direction,reading_order_known,complete,stored_length,position,sign_code,is_missing
INDUS-4802,-,Ur,SEAL:C,R/L,R/L,True,True,5,1,093,False
INDUS-4802,-,Ur,SEAL:C,R/L,R/L,True,True,5,2,340,False
INDUS-4802,-,Ur,SEAL:C,R/L,R/L,True,True,5,3,924,False
INDUS-4802,-,Ur,SEAL:C,R/L,R/L,True,True,5,4,220,False
INDUS-4802,-,Ur,SEAL:C,R/L,R/L,True,True,5,5,528,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,1,002,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,2,004,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,3,328,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,4,001,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,5,803,False
INDUS-4803,-,Ur,SEAL:C,R/L,R/L,True,True,6,6,415,False
INDUS-4804,-,Ur,SEAL:C,-,OTHER,False,False,5,1,000,True
INDUS-4804,-,Ur,SEAL:C,-,OTHER,False,False,5,2,000,True
INDUS-4804,-,Ur,SEAL:C,-,OTHER,False,False,5,3,004,False
INDUS-4804,-,Ur,SEAL:C,-,OTHER,False,False,5,4,090,False
INDUS-4804,-,Ur,SEAL:C,-,OTHER,False,False,5,5,350,False
INDUS-4805,-,Kanmer,IMPL,R/L,R/L,True,True,2,1,136,False
INDUS-4805,-,Kanmer,IMPL,R/L,R/L,True,True,2,2,031,False
INDUS-4806,-,Kanmer,IMPL,-,OTHER,False,True,3,1,413,False
INDUS-4806,-,Kanmer,IMPL,-,OTHER,False,True,3,2,933,False
INDUS-4806,-,Kanmer,IMPL,-,OTHER,False,True,3,3,031,False
INDUS-4807,-,Kanmer,IMPL,R/L,R/L,True,True,2,1,136,False
INDUS-4807,-,Kanmer,IMPL,R/L,R/L,True,True,2,2,031,False
INDUS-4808,-,Kanmer,IMPL,R/L,R/L,True,True,2,1,136,False
INDUS-4808,-,Kanmer,IMPL,R/L,R/L,True,True,2,2,031,False
INDUS-4809,-,Kanmer,IMPL,-,OTHER,False,False,2,1,931,False
INDUS-4809,-,Kanmer,IMPL,-,OTHER,False,False,2,2,000,True
INDUS-4810,M-1734,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,2,1,740,False
INDUS-4810,M-1734,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,2,2,912,False
INDUS-4811,M-1998,Mohenjo-daro,POT:T:s,R/L,R/L,True,False,2,1,146,False
INDUS-4811,M-1998,Mohenjo-daro,POT:T:s,R/L,R/L,True,False,2,2,000,True
INDUS-4812,M-1664,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,4,1,812,False
INDUS-4812,M-1664,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,4,2,500,False
INDUS-4812,M-1664,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,4,3,060,False
INDUS-4812,M-1664,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,4,4,920,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,1,740,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,2,690,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,3,435,False
