cisi,ext_id,motif,ext_direction,ext_line_count,ext_object_type,source
H-1916,S510,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1671,S513,Bull1:S,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1908,S515,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1938,S516,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2095,S518,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2186,S519,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2034,S520,Goat,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1770,S526,Gaur,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1677,S530,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2069,S532,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2175,S533,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2036,S534,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1977,S535,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1692,S537,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2115,S544,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1931,S548,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2208,S549,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1822,S550,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1767,S552,Zebu,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1906,S554,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1939,S556,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1855,S557,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1834,S559,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1873,S560,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1923,S567,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1922,S569,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1797,S570,Bult,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2055,S574,S590,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2197,S578,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1990,S581,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1954,S585,Bull,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2128,S589,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1999,S592,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1839,S593,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2022,S594,Phyt,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2139,S596,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2039,S597,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1859,S598,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1864,S599,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2021,S601,Phyt,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1732,S603,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1709,S622,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1706,S623,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1817,S624,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1745,S625,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1662,S626,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1917,S627,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1899,S628,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2207,S630,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1842,S631,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2193,S632,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1680,S634,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1814,S635,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1860,S637,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2209,S638,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2108,S640,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2198,S643,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1956,S644,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1824,S646,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2062,S647,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1823,S649,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1841,S652,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1813,S653,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1863,S654,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1946,S658,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2204,S659,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1951,S662,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1975,S664,Scene,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2096,S665,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2054,S666,S590,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1672,S668,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1891,S670,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2066,S671,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2214,S672,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1903,S675,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2024,S677,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2217,S679,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2090,S681,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1146,S682,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1846,S686,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1989,S687,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1684,S688,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1988,S689,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1982,S690,Tri4,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2238,S693,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2187,S694,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2272,S701,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2368,S702,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2267,S703,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1734,S715,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2010,S729,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1670,S731,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2131,S732,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1964,S737,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1810,S742,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1907,S743,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1993,S744,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
